OrderID,CustomerID,City,Restaurant,Meal,Quantity,OrderValue,PaymentMethod,DeliveryTime(mins),OrderStatus,OrderDate
26,3747,Ibadan,Kilimanjaro,Jollof Rice & Chicken,3,10392.22,Wallet,51,Delivered,2024-01-01 00:25:00
27,1189,Benin City,Kilimanjoro,Yam & Egg Sauce,1,9930.7,Card,42,Pending,2024-01-01 00:26:00
28,3734,Ibadan,Kilimanjaro,Efo Riro & Poundo,3,7626.96,Cash,31,Delivered,2024-01-01 00:27:00
29,4005,Port Harcourt,Chopnownow,Burger & Fries,1,2238.09,Cash,87,Delivered,2024-01-01 00:28:00
30,5658,Asaba,The Place,Jollof Rice & Chicken,4,3098.36,Transfer,68,Delivered,2024-01-01 00:29:00
31,2899,Abeokuta,Kilimanjoro,Pizza (Large),3,9188.9,Transfer,88,Cancelled,2024-01-01 00:30:00
32,8734,Lagos,Dominos Pizza,Ice Cream,2,10754.62,Wallet,41,Delivered,2024-01-01 00:31:00
33,2267,Abeokuta,Dominos Pizza,Shawarma,1,12639.83,Wallet,43,Delivered,2024-01-01 00:32:00
34,2528,Asaba,Dominos Pizza,Small Chops,4,5804.52,Cash,77,Delivered,2024-01-01 00:33:00
35,4556,Ibadan,Dominos Pizza,Jollof Rice & Chicken,2,7072.07,Wallet,28,Delivered,2024-01-01 00:34:00
36,4890,Abuja,The Place,Pizza (Large),4,14419.46,Card,78,Delivered,2024-01-01 00:35:00
37,9838,Ibadan,Kilimanjaro,Jollof Rice & Chicken,4,6086.97,Cash,57,Delivered,2024-01-01 00:36:00
38,6393,Enugu,Mr Biggs,Small Chops,4,7004.34,Card,37,Delivered,2024-01-01 00:37:00
39,9792,Uyo,The Place,Jollof Rice & Chicken,3,2854.81,Cash,43,Delivered,2024-01-01 00:38:00
40,9433,Uyo,Kilimanjoro,Shawarma,2,6315.04,Transfer,82,Delivered,2024-01-01 00:39:00
41,8513,Abuja,Coldstone,Small Chops,4,2236.92,Transfer,80,Delivered,2024-01-01 00:40:00
42,3612,Port Harcourt,The Place,Ice Cream,1,8292.44,Wallet,25,Delivered,2024-01-01 00:41:00
43,8041,Uyo,Kilimanjaro,Spaghetti Bolognese,2,6179.76,Wallet,18,Delivered,2024-01-01 00:42:00
44,7235,Benin City,Sweet Sensation,Shawarma,4,8546.85,Cash,60,Delivered,2024-01-01 00:43:00
45,6486,Asaba,Chopnownow,Yam & Egg Sauce,3,12956.35,Transfer,19,Delivered,2024-01-01 00:44:00
46,8099,Uyo,Dominos Pizza,Jollof Rice & Chicken,3,6735.46,Cash,13,Delivered,2024-01-01 00:45:00
47,1775,Ibadan,Kilimanjaro,Shawarma,3,9441.26,Wallet,70,Delivered,2024-01-01 00:46:00
48,9226,Ibadan,Chicken Republic,Spaghetti Bolognese,4,2378.09,Wallet,88,Delivered,2024-01-01 00:47:00
49,4152,Asaba,Chicken Republic,Pizza (Large),4,5019.44,Cash,43,Delivered,2024-01-01 00:48:00
50,2585,Enugu,Dominos Pizza,Pizza (Large),1,3344.49,Wallet,12,Delivered,2024-01-01 00:49:00
51,4943,Asaba,Dominos Pizza,Ice Cream,4,9152.62,Cash,48,Delivered,2024-01-01 00:50:00
52,8555,Benin City,Kilimanjaro,Jollof Rice & Chicken,1,4122.39,Wallet,22,Delivered,2024-01-01 00:51:00
53,4073,Lagos,Chopnownow,Shawarma,1,7468.04,Cash,82,Delivered,2024-01-01 00:52:00
54,2021,Abeokuta,Sweet Sensation,Yam & Egg Sauce,2,8863.4,Transfer,26,Delivered,2024-01-01 00:53:00
55,4843,Port Harcourt,The Place,Burger & Fries,2,12462.0,Card,66,Delivered,2024-01-01 00:54:00
56,8989,Ibadan,Dominos Pizza,Yam & Egg Sauce,3,8811.54,Wallet,13,Delivered,2024-01-01 00:55:00
57,7873,Lagos,Coldstone,Yam & Egg Sauce,2,12185.33,Cash,34,Delivered,2024-01-01 00:56:00
58,6675,Benin City,Sweet Sensation,Burger & Fries,3,3291.35,Cash,68,Delivered,2024-01-01 00:57:00
59,1161,Asaba,Sweet Sensation,Spaghetti Bolognese,4,14573.27,Cash,50,Delivered,2024-01-01 00:58:00
60,5297,Abuja,Sweet Sensation,Shawarma,1,5733.87,Wallet,32,Delivered,2024-01-01 00:59:00
61,1995,Abeokuta,Dominos Pizza,Pizza (Large),4,7475.38,Card,55,Failed,2024-01-01 01:00:00
62,8629,Asaba,Coldstone,Small Chops,3,14150.67,Card,47,Delivered,2024-01-01 01:01:00
63,2016,Asaba,Dominos Pizza,Efo Riro & Poundo,4,13376.02,Wallet,24,Delivered,2024-01-01 01:02:00
64,8869,Uyo,The Place,Fried Rice & Turkey,1,14968.08,Card,17,Delivered,2024-01-01 01:03:00
65,7439,Enugu,Sweet Sensation,Efo Riro & Poundo,4,12307.74,Cash,84,Pending,2024-01-01 01:04:00
66,8892,Uyo,Chopnownow,Spaghetti Bolognese,3,6576.81,Cash,85,Delivered,2024-01-01 01:05:00
67,7863,Abeokuta,Chicken Republic,Pizza (Large),1,13971.76,Cash,37,Delivered,2024-01-01 01:06:00
68,8916,Abeokuta,Mr Biggs,Yam & Egg Sauce,4,13117.47,Transfer,25,Delivered,2024-01-01 01:07:00
69,9529,Ibadan,The Place,Ice Cream,2,13868.03,Transfer,15,Delivered,2024-01-01 01:08:00
70,1878,Asaba,Kilimanjaro,Ice Cream,1,14103.07,Transfer,73,Delivered,2024-01-01 01:09:00
71,5887,Abuja,Coldstone,Jollof Rice & Chicken,4,8966.42,Transfer,50,Delivered,2024-01-01 01:10:00
72,5859,Abuja,Mr Biggs,Ice Cream,4,14697.82,Cash,86,Failed,2024-01-01 01:11:00
73,7331,Enugu,Chicken Republic,Shawarma,4,6249.72,Transfer,49,Delivered,2024-01-01 01:12:00
74,9571,Asaba,Sweet Sensation,Ice Cream,1,10865.86,Wallet,43,Delivered,2024-01-01 01:13:00
75,9684,Benin City,Mr Biggs,Shawarma,3,2416.43,Cash,42,Delivered,2024-01-01 01:14:00
76,8208,Port Harcourt,Coldstone,Jollof Rice & Chicken,4,5105.92,Card,33,Delivered,2024-01-01 01:15:00
77,6276,Ibadan,Sweet Sensation,Spaghetti Bolognese,4,4731.8,Transfer,81,Delivered,2024-01-01 01:16:00
78,3062,Port Harcourt,Chopnownow,Spaghetti Bolognese,4,2132.34,Wallet,68,Delivered,2024-01-01 01:17:00
79,1064,Benin City,Chopnownow,Efo Riro & Poundo,1,11962.58,Cash,32,Pending,2024-01-01 01:18:00
80,9006,Asaba,Mr Biggs,Burger & Fries,4,11616.05,Cash,82,Delivered,2024-01-01 01:19:00
81,3568,Port Harcourt,Coldstone,Small Chops,3,6855.49,Wallet,85,Delivered,2024-01-01 01:20:00
82,6463,Ibadan,Chicken Republic,Spaghetti Bolognese,4,13905.56,Card,53,Delivered,2024-01-01 01:21:00
83,3027,Enugu,Chopnownow,Spaghetti Bolognese,2,14879.99,Cash,43,Delivered,2024-01-01 01:22:00
84,3695,Ibadan,Dominos Pizza,Shawarma,1,6607.3,Transfer,10,Delivered,2024-01-01 01:23:00
85,6258,Benin City,Chopnownow,Ice Cream,4,6954.35,Card,29,Delivered,2024-01-01 01:24:00
86,6618,Ibadan,Coldstone,Burger & Fries,2,14118.15,Transfer,38,Delivered,2024-01-01 01:25:00
87,7736,Abeokuta,Kilimanjoro,Pizza (Large),1,13384.05,Card,75,Pending,2024-01-01 01:26:00
88,1391,Abeokuta,The Place,Jollof Rice & Chicken,4,10976.46,Card,85,Delivered,2024-01-01 01:27:00
89,6892,Abeokuta,Sweet Sensation,Shawarma,1,2251.99,Card,79,Delivered,2024-01-01 01:28:00
90,4561,Benin City,Dominos Pizza,Spaghetti Bolognese,2,4560.09,Cash,33,Delivered,2024-01-01 01:29:00
91,7184,Uyo,Mr Biggs,Spaghetti Bolognese,3,10743.67,Transfer,74,Pending,2024-01-01 01:30:00
92,4099,Port Harcourt,Chopnownow,Efo Riro & Poundo,2,4376.92,Card,30,Delivered,2024-01-01 01:31:00
93,7278,Asaba,Dominos Pizza,Shawarma,1,10279.83,Wallet,69,Pending,2024-01-01 01:32:00
94,9392,Port Harcourt,Chicken Republic,Efo Riro & Poundo,1,7097.74,Wallet,67,Delivered,2024-01-01 01:33:00
95,4104,Port Harcourt,Mr Biggs,Ice Cream,2,9662.83,Transfer,47,Delivered,2024-01-01 01:34:00
96,8215,Ibadan,Coldstone,Jollof Rice & Chicken,4,6559.74,Cash,30,Cancelled,2024-01-01 01:35:00
97,3454,Abuja,The Place,Ice Cream,4,7495.61,Cash,87,Failed,2024-01-01 01:36:00
98,9996,Abeokuta,Kilimanjoro,Yam & Egg Sauce,1,13680.28,Wallet,51,Delivered,2024-01-01 01:37:00
99,3731,Asaba,Dominos Pizza,Pizza (Large),2,4358.36,Cash,19,Delivered,2024-01-01 01:38:00
100,9154,Enugu,Dominos Pizza,Spaghetti Bolognese,2,2099.29,Transfer,73,Delivered,2024-01-01 01:39:00
101,6056,Ibadan,Mr Biggs,Small Chops,4,8173.86,Transfer,83,Delivered,2024-01-01 01:40:00
102,9110,Ibadan,Kilimanjaro,Jollof Rice & Chicken,4,14288.03,Cash,51,Delivered,2024-01-01 01:41:00
103,4840,Lagos,Kilimanjoro,Fried Rice & Turkey,4,9711.63,Transfer,43,Delivered,2024-01-01 01:42:00
104,2028,Enugu,Sweet Sensation,Shawarma,2,4343.65,Transfer,15,Delivered,2024-01-01 01:43:00
105,8385,Abuja,Coldstone,Fried Rice & Turkey,2,2925.7,Card,38,Pending,2024-01-01 01:44:00
106,1502,Ibadan,Sweet Sensation,Shawarma,1,2799.4,Wallet,18,Delivered,2024-01-01 01:45:00
107,7910,Uyo,Sweet Sensation,Fried Rice & Turkey,1,9371.05,Wallet,40,Delivered,2024-01-01 01:46:00
108,7938,Asaba,The Place,Fried Rice & Turkey,1,4485.72,Cash,84,Delivered,2024-01-01 01:47:00
109,5488,Abuja,Coldstone,Efo Riro & Poundo,4,11908.43,Wallet,41,Delivered,2024-01-01 01:48:00
110,1206,Abeokuta,Kilimanjoro,Fried Rice & Turkey,4,11851.44,Wallet,86,Pending,2024-01-01 01:49:00
111,6134,Lagos,Sweet Sensation,Yam & Egg Sauce,4,14356.19,Cash,29,Delivered,2024-01-01 01:50:00
112,6977,Uyo,Sweet Sensation,Jollof Rice & Chicken,2,10271.1,Cash,78,Delivered,2024-01-01 01:51:00
113,8721,Abuja,The Place,Fried Rice & Turkey,2,14500.91,Card,79,Delivered,2024-01-01 01:52:00
114,8035,Abeokuta,Chicken Republic,Pizza (Large),2,4558.64,Card,83,Delivered,2024-01-01 01:53:00
115,2484,Port Harcourt,Mr Biggs,Burger & Fries,1,12134.73,Transfer,89,Delivered,2024-01-01 01:54:00
116,8858,Enugu,Chopnownow,Spaghetti Bolognese,3,14947.42,Card,69,Delivered,2024-01-01 01:55:00
117,1863,Ibadan,Chicken Republic,Fried Rice & Turkey,2,11950.85,Wallet,79,Delivered,2024-01-01 01:56:00
118,3790,Abuja,Dominos Pizza,Spaghetti Bolognese,3,10977.95,Wallet,12,Delivered,2024-01-01 01:57:00
119,8408,Abuja,Sweet Sensation,Small Chops,2,6147.51,Transfer,43,Pending,2024-01-01 01:58:00
120,9755,Asaba,Kilimanjaro,Yam & Egg Sauce,2,3477.9,Card,82,Delivered,2024-01-01 01:59:00
121,6116,Abuja,Mr Biggs,Small Chops,2,8543.36,Cash,40,Delivered,2024-01-01 02:00:00
122,7019,Abuja,Mr Biggs,Yam & Egg Sauce,1,9204.76,Card,78,Failed,2024-01-01 02:01:00
123,2757,Uyo,Chopnownow,Jollof Rice & Chicken,3,7555.56,Card,12,Delivered,2024-01-01 02:02:00
124,8574,Lagos,Chicken Republic,Pizza (Large),2,13083.4,Cash,77,Delivered,2024-01-01 02:03:00
125,7374,Lagos,Sweet Sensation,Spaghetti Bolognese,2,14580.71,Card,26,Delivered,2024-01-01 02:04:00
126,7892,Abeokuta,Chopnownow,Burger & Fries,4,12043.38,Transfer,80,Pending,2024-01-01 02:05:00
127,2678,Asaba,The Place,Fried Rice & Turkey,4,8010.1,Card,85,Delivered,2024-01-01 02:06:00
128,4242,Asaba,Chicken Republic,Pizza (Large),4,13949.9,Transfer,64,Delivered,2024-01-01 02:07:00
129,5636,Uyo,Sweet Sensation,Spaghetti Bolognese,2,6866.3,Transfer,39,Pending,2024-01-01 02:08:00
130,2059,Ibadan,Chicken Republic,Pizza (Large),3,7566.93,Wallet,15,Delivered,2024-01-01 02:09:00
131,7668,Abeokuta,Chicken Republic,Pizza (Large),3,12099.57,Card,20,Delivered,2024-01-01 02:10:00
132,4157,Enugu,Coldstone,Small Chops,1,4399.89,Card,38,Cancelled,2024-01-01 02:11:00
133,6915,Ibadan,Chopnownow,Shawarma,1,9937.58,Transfer,87,Delivered,2024-01-01 02:12:00
134,3693,Asaba,Kilimanjaro,Spaghetti Bolognese,3,5334.31,Cash,66,Delivered,2024-01-01 02:13:00
135,4627,Asaba,Chopnownow,Fried Rice & Turkey,4,2841.97,Transfer,13,Delivered,2024-01-01 02:14:00
136,6450,Abeokuta,Sweet Sensation,Ice Cream,3,11169.33,Transfer,66,Delivered,2024-01-01 02:15:00
137,2663,Uyo,Sweet Sensation,Shawarma,3,5787.73,Cash,54,Delivered,2024-01-01 02:16:00
138,6592,Lagos,The Place,Spaghetti Bolognese,2,5365.65,Cash,67,Delivered,2024-01-01 02:17:00
139,8392,Abuja,The Place,Fried Rice & Turkey,2,14224.09,Card,17,Delivered,2024-01-01 02:18:00
140,2306,Benin City,Sweet Sensation,Shawarma,3,12086.06,Cash,33,Delivered,2024-01-01 02:19:00
141,7776,Ibadan,Chopnownow,Shawarma,2,8156.42,Card,59,Delivered,2024-01-01 02:20:00
142,6864,Benin City,Dominos Pizza,Yam & Egg Sauce,1,3483.17,Cash,29,Delivered,2024-01-01 02:21:00
143,8526,Benin City,Chicken Republic,Small Chops,3,10078.07,Card,75,Delivered,2024-01-01 02:22:00
144,9901,Port Harcourt,Dominos Pizza,Jollof Rice & Chicken,3,3378.73,Cash,10,Delivered,2024-01-01 02:23:00
145,6575,Abeokuta,The Place,Efo Riro & Poundo,4,11196.5,Cash,73,Delivered,2024-01-01 02:24:00
146,6530,Lagos,Chopnownow,Pizza (Large),4,3832.81,Wallet,43,Delivered,2024-01-01 02:25:00
147,5413,Ibadan,The Place,Pizza (Large),1,14110.21,Cash,64,Delivered,2024-01-01 02:26:00
148,4748,Ibadan,Kilimanjoro,Efo Riro & Poundo,4,6473.82,Card,80,Delivered,2024-01-01 02:27:00
149,1663,Enugu,Chopnownow,Fried Rice & Turkey,4,10164.32,Transfer,44,Delivered,2024-01-01 02:28:00
150,2998,Lagos,Coldstone,Ice Cream,2,4787.53,Wallet,46,Delivered,2024-01-01 02:29:00
151,8994,Enugu,The Place,Efo Riro & Poundo,4,11317.18,Wallet,72,Failed,2024-01-01 02:30:00
152,2495,Asaba,Chicken Republic,Yam & Egg Sauce,2,9200.1,Transfer,37,Delivered,2024-01-01 02:31:00
153,4304,Abuja,The Place,Spaghetti Bolognese,4,2589.79,Cash,38,Delivered,2024-01-01 02:32:00
154,4763,Abuja,Chicken Republic,Spaghetti Bolognese,1,7024.09,Card,19,Delivered,2024-01-01 02:33:00
155,6232,Ibadan,Chicken Republic,Fried Rice & Turkey,2,13435.8,Wallet,22,Delivered,2024-01-01 02:34:00
156,2853,Abeokuta,Mr Biggs,Small Chops,1,8496.79,Cash,54,Delivered,2024-01-01 02:35:00
157,7585,Port Harcourt,Mr Biggs,Shawarma,4,5038.36,Cash,14,Delivered,2024-01-01 02:36:00
158,2291,Enugu,Sweet Sensation,Small Chops,4,6042.48,Cash,33,Delivered,2024-01-01 02:37:00
159,4581,Uyo,Coldstone,Fried Rice & Turkey,1,5291.1,Cash,64,Delivered,2024-01-01 02:38:00
160,8554,Lagos,Chicken Republic,Spaghetti Bolognese,3,3051.44,Transfer,28,Delivered,2024-01-01 02:39:00
161,8280,Ibadan,The Place,Small Chops,1,8841.96,Cash,33,Delivered,2024-01-01 02:40:00
162,2636,Port Harcourt,The Place,Shawarma,1,13214.53,Card,41,Delivered,2024-01-01 02:41:00
163,4696,Ibadan,Mr Biggs,Ice Cream,4,12016.6,Transfer,27,Pending,2024-01-01 02:42:00
164,1698,Abeokuta,Kilimanjaro,Small Chops,3,6287.26,Transfer,86,Delivered,2024-01-01 02:43:00
165,5737,Port Harcourt,Dominos Pizza,Shawarma,2,10303.74,Transfer,56,Delivered,2024-01-01 02:44:00
166,1854,Enugu,Kilimanjoro,Spaghetti Bolognese,1,6192.98,Card,73,Delivered,2024-01-01 02:45:00
167,9164,Enugu,Sweet Sensation,Shawarma,4,9057.16,Transfer,81,Delivered,2024-01-01 02:46:00
168,6855,Ibadan,Chopnownow,Shawarma,2,9738.62,Cash,37,Pending,2024-01-01 02:47:00
169,8392,Enugu,Mr Biggs,Small Chops,4,11077.06,Cash,71,Cancelled,2024-01-01 02:48:00
170,7528,Abuja,Dominos Pizza,Efo Riro & Poundo,1,9696.33,Transfer,20,Delivered,2024-01-01 02:49:00
171,6249,Enugu,Coldstone,Fried Rice & Turkey,1,13974.86,Wallet,34,Delivered,2024-01-01 02:50:00
172,6172,Ibadan,Kilimanjoro,Yam & Egg Sauce,4,6079.18,Card,68,Cancelled,2024-01-01 02:51:00
173,2707,Ibadan,Kilimanjaro,Yam & Egg Sauce,4,8014.41,Cash,32,Delivered,2024-01-01 02:52:00
174,6791,Port Harcourt,Sweet Sensation,Shawarma,4,7544.85,Card,54,Delivered,2024-01-01 02:53:00
175,6535,Abuja,Dominos Pizza,Fried Rice & Turkey,1,8690.7,Cash,56,Delivered,2024-01-01 02:54:00
176,5931,Asaba,Chopnownow,Pizza (Large),4,5828.53,Wallet,66,Delivered,2024-01-01 02:55:00
177,4510,Benin City,Chicken Republic,Efo Riro & Poundo,3,7227.82,Card,75,Delivered,2024-01-01 02:56:00
178,1202,Abeokuta,Kilimanjoro,Shawarma,4,9716.57,Wallet,26,Delivered,2024-01-01 02:57:00
179,5218,Port Harcourt,Sweet Sensation,Efo Riro & Poundo,4,2683.53,Transfer,78,Delivered,2024-01-01 02:58:00
180,9958,Ibadan,Mr Biggs,Ice Cream,1,12453.97,Transfer,58,Delivered,2024-01-01 02:59:00
181,5389,Abuja,Dominos Pizza,Jollof Rice & Chicken,3,9799.94,Transfer,44,Delivered,2024-01-01 03:00:00
182,3327,Port Harcourt,The Place,Shawarma,2,2149.66,Card,78,Delivered,2024-01-01 03:01:00
183,9004,Benin City,Sweet Sensation,Ice Cream,1,4989.65,Wallet,56,Delivered,2024-01-01 03:02:00
184,3931,Ibadan,Dominos Pizza,Yam & Egg Sauce,2,8589.13,Wallet,24,Delivered,2024-01-01 03:03:00
185,8777,Abuja,Kilimanjaro,Yam & Egg Sauce,4,14436.53,Transfer,67,Delivered,2024-01-01 03:04:00
186,1197,Abuja,Coldstone,Shawarma,3,11811.41,Card,66,Delivered,2024-01-01 03:05:00
187,8125,Abeokuta,Chopnownow,Spaghetti Bolognese,2,3918.96,Wallet,26,Failed,2024-01-01 03:06:00
188,2930,Enugu,Kilimanjoro,Efo Riro & Poundo,2,4963.5,Cash,10,Delivered,2024-01-01 03:07:00
189,7287,Uyo,Coldstone,Pizza (Large),2,13721.96,Cash,57,Delivered,2024-01-01 03:08:00
190,9800,Asaba,Sweet Sensation,Small Chops,2,13319.58,Transfer,68,Delivered,2024-01-01 03:09:00
191,5282,Ibadan,Mr Biggs,Ice Cream,3,12779.0,Transfer,36,Delivered,2024-01-01 03:10:00
192,3511,Abuja,Mr Biggs,Fried Rice & Turkey,2,13718.55,Wallet,21,Delivered,2024-01-01 03:11:00
193,1659,Uyo,Sweet Sensation,Ice Cream,1,9360.18,Wallet,72,Delivered,2024-01-01 03:12:00
194,3811,Lagos,Dominos Pizza,Efo Riro & Poundo,2,14907.64,Cash,46,Delivered,2024-01-01 03:13:00
195,8098,Lagos,Chopnownow,Fried Rice & Turkey,3,7357.3,Transfer,21,Delivered,2024-01-01 03:14:00
196,7546,Benin City,Kilimanjaro,Yam & Egg Sauce,4,9780.23,Card,28,Delivered,2024-01-01 03:15:00
197,2986,Port Harcourt,The Place,Small Chops,4,14501.29,Transfer,69,Delivered,2024-01-01 03:16:00
198,9338,Abeokuta,Chopnownow,Jollof Rice & Chicken,4,4064.36,Card,85,Delivered,2024-01-01 03:17:00
199,3911,Ibadan,The Place,Jollof Rice & Chicken,1,2614.25,Transfer,20,Delivered,2024-01-01 03:18:00
200,2734,Uyo,Chopnownow,Small Chops,2,11139.59,Cash,30,Delivered,2024-01-01 03:19:00
201,2843,Lagos,Coldstone,Spaghetti Bolognese,1,2185.29,Card,20,Delivered,2024-01-01 03:20:00
202,9680,Abeokuta,Coldstone,Small Chops,3,3505.25,Cash,16,Cancelled,2024-01-01 03:21:00
203,3976,Abuja,Chopnownow,Ice Cream,2,10669.93,Wallet,80,Delivered,2024-01-01 03:22:00
204,2959,Port Harcourt,Chicken Republic,Small Chops,4,3717.78,Transfer,17,Delivered,2024-01-01 03:23:00
205,6759,Benin City,Kilimanjaro,Small Chops,1,2088.82,Cash,32,Delivered,2024-01-01 03:24:00
206,7694,Abeokuta,Chicken Republic,Pizza (Large),2,5878.74,Wallet,69,Delivered,2024-01-01 03:25:00
207,3385,Lagos,Sweet Sensation,Burger & Fries,1,4154.03,Wallet,38,Pending,2024-01-01 03:26:00
208,5736,Benin City,Dominos Pizza,Ice Cream,4,14151.47,Cash,59,Delivered,2024-01-01 03:27:00
209,2802,Port Harcourt,Kilimanjoro,Pizza (Large),2,3481.61,Transfer,22,Delivered,2024-01-01 03:28:00
210,9155,Enugu,Dominos Pizza,Ice Cream,2,7814.98,Card,44,Delivered,2024-01-01 03:29:00
211,9120,Asaba,Dominos Pizza,Small Chops,1,9947.74,Transfer,81,Delivered,2024-01-01 03:30:00
212,7616,Port Harcourt,Kilimanjaro,Spaghetti Bolognese,1,7722.3,Card,58,Cancelled,2024-01-01 03:31:00
213,6534,Ibadan,Coldstone,Fried Rice & Turkey,3,8083.67,Cash,29,Failed,2024-01-01 03:32:00
214,5061,Ibadan,Chopnownow,Spaghetti Bolognese,3,10355.17,Transfer,11,Delivered,2024-01-01 03:33:00
215,1262,Enugu,Mr Biggs,Jollof Rice & Chicken,4,6357.12,Wallet,85,Delivered,2024-01-01 03:34:00
216,7287,Ibadan,Kilimanjaro,Jollof Rice & Chicken,4,14837.49,Cash,25,Delivered,2024-01-01 03:35:00
217,9815,Enugu,The Place,Burger & Fries,2,14787.76,Wallet,46,Pending,2024-01-01 03:36:00
218,3049,Ibadan,Chopnownow,Shawarma,1,11587.04,Card,36,Delivered,2024-01-01 03:37:00
219,6423,Abeokuta,Coldstone,Yam & Egg Sauce,1,11609.46,Wallet,70,Pending,2024-01-01 03:38:00
220,5548,Benin City,Kilimanjaro,Efo Riro & Poundo,4,5718.28,Card,80,Delivered,2024-01-01 03:39:00
221,4108,Abeokuta,Kilimanjoro,Jollof Rice & Chicken,2,14781.49,Wallet,53,Delivered,2024-01-01 03:40:00
222,8158,Asaba,Chopnownow,Jollof Rice & Chicken,2,10881.02,Card,41,Delivered,2024-01-01 03:41:00
223,8400,Enugu,Sweet Sensation,Pizza (Large),4,2850.6,Transfer,59,Delivered,2024-01-01 03:42:00
224,4170,Abuja,Coldstone,Pizza (Large),4,5542.17,Wallet,69,Delivered,2024-01-01 03:43:00
225,3255,Lagos,Kilimanjoro,Spaghetti Bolognese,4,3068.1,Card,61,Delivered,2024-01-01 03:44:00
226,2154,Abuja,The Place,Small Chops,3,5638.17,Cash,80,Delivered,2024-01-01 03:45:00
227,5499,Ibadan,Mr Biggs,Burger & Fries,3,4057.67,Cash,59,Delivered,2024-01-01 03:46:00
228,7295,Abeokuta,Kilimanjaro,Jollof Rice & Chicken,1,12737.93,Wallet,81,Delivered,2024-01-01 03:47:00
229,7197,Benin City,Kilimanjoro,Ice Cream,4,10866.48,Wallet,17,Delivered,2024-01-01 03:48:00
230,2648,Ibadan,Sweet Sensation,Yam & Egg Sauce,4,14338.03,Card,29,Delivered,2024-01-01 03:49:00
231,6539,Asaba,Chicken Republic,Fried Rice & Turkey,4,3030.27,Card,18,Delivered,2024-01-01 03:50:00
232,5199,Port Harcourt,Sweet Sensation,Small Chops,4,4191.44,Cash,57,Delivered,2024-01-01 03:51:00
233,9445,Lagos,Dominos Pizza,Pizza (Large),4,14028.36,Wallet,87,Delivered,2024-01-01 03:52:00
234,3557,Enugu,Mr Biggs,Jollof Rice & Chicken,4,7231.78,Wallet,87,Delivered,2024-01-01 03:53:00
